Index[#version],Pointer[#version|],Original,Translated
000,0x120000,男型ティンペットを手に入れた!,Received a male Tinpet!
001,0x120002,女型ティンペットを手に入れた!,Received a female Tinpet!
002,0x120004,あっ!<CD>これいじょう 持てないや!<CF>ティンペットをあきらめた!,Oops! You can't carry any more Tinpets!<CF>You gave up the Tinpet.
003,0x120006,メダロットが<CD>1体も 租まれていません!<CF>メダロットを 租んでください,You need at least one fully assembled Medarot!<CF>Please assemble one of your Medarots.
004,0x120008,あっ!<CD>このメダルは すでに持っているぞ!<CF>メダルをあきらめた!,Oops!<D3>You already have this Medal!<CF>You gave up the Medal!
005,0x12000a,デ-タをセ-ブしました!<S1E><*04>,Game data saved!<S1E><*04>
006,0x12000c,ロボロボメダルを使いますか?<*04>,Use a RoboRobo Medal?<*04>
007,0x12000e,せんとうから にげられた!!<*02>,Escaped from the battle!<*02>
008,0x120010,「<&BUF06>」を 手に入れた,<&BUF06> obtained.
009,0x120012,「<&BUF06>」が なくなった,<&BUF06> was lost.
010,0x120014,このアイテムは<CD>これいじょう 持てない!,I can't hold any more of this item!
011,0x120016,<&BUF03>は<CD>「<&BUF06>」を 持っていない,<&BUF03> does not have <&BUF06>.
012,0x120018,<&BUF03>は<CD><&BUF06>0¥を 手に入れた,<&BUF03> got ¥<&BUF06>0.
013,0x12001a,<&BUF06>0¥ なくなった,¥<&BUF06>0 was lost.
014,0x12001c,<&BUF06>を 手に入れた,Received <&BUF06>.
015,0x12001e,<&BUF06>が なくなった,<&BUF06> was lost.
016,0x120020,パシャ!<*04>,Click!<*04>
017,0x120022,パシャ パシャ!<*04>,Click click!<*04>
018,0x120024,「<&BUF06>」メダルを<CD>手に入れた,Received the <&BUF06> Medal.
019,0x120026,このメダルは すでに 持っている,I already have that Medal.
020,0x120028,頭パ-ツ<CD>「<&BUF06>」を 手に入れた,Received the head part <&BUF06>.
021,0x12002a,右院パ-ツ<CD>「<&BUF06>」を 手に入れた,Received the right arm part <&BUF06>.
022,0x12002c,左院パ-ツ<CD>「<&BUF06>」を 手に入れた,Received the left arm part <&BUF06>.
023,0x12002e,脚部パ-ツ<CD>「<&BUF06>」を 手に入れた,Received leg part <&BUF06>.
024,0x120030,このパ-ツは<CD>これいじょう 持てません,I don't have this part anymore.
025,0x120032,頭パ-ツ<CD>「<&BUF06>」が なくなった,Head part <&BUF06> was lost.
026,0x120034,右院パ-ツ<CD>「<&BUF06>」が なくなった,Right arm part <&BUF06> was lost.
027,0x120036,左院パ-ツ<CD>「<&BUF06>」が なくなった,Left arm part <&BUF06> was lost.
028,0x120038,脚部パ-ツ<CD>「<&BUF06>」が なくなった,Leg part <&BUF06> was lost.
029,0x12003a,<&BUF03>は 頭パ-ツ<CD>「<&BUF06>」を 持ってない,<&BUF03> doesn't have the head part <&BUF06>.
030,0x12003c,<&BUF03>は 右院パ-ツ<CD>「<&BUF06>」を 持ってない,<&BUF03> doesn't have the right arm part <&BUF06>.
031,0x12003e,<&BUF03>は 左院パ-ツ<CD>「<&BUF06>」を 持ってない,<&BUF03> doesn't have the left arm part <&BUF06>.
032,0x120040,<&BUF03>は 脚部パ-ツ<CD>「<&BUF06>」を 持ってない,<&BUF03> doesn't have the leg part <&BUF06>.
033,0x120042,「<&BUF06>」のメダリアを<CD>手に入れた,Obtained the <&BUF06> Medalia!
034,0x120044,「<&BUF06>」を<CD><&BUF07>個 手に入れた,I have <&BUF07> <&BUF06>.
035,0x12004a,「<&BUF06>」が<CD><&BUF07>個なくなった,I do not have <&BUF07> <&BUF06>.
036,0x12004c,イベントオ-バ- フリ-ズ!!<*04>,Event overfreeze!<*04>
037,0x12005a,<SFF>みんな 友だち<*04>,<SFF>We are all friends.<*04>
038,0x120062,<SFF>あたしたちは ずっと いっしょ<*04>,<SFF>We will always be together.<*04>
039,0x120064,<SFF>大人に なってもな!<*04>,<SFF>Even when we grow up!<*04>
040,0x120066,<SFF>なかまが いるって ステキですわ♥<*04>,<SFF>Having friends is wonderful ♥<*04>
041,0x120068,<SFF>せ-の...<CD>メダロット!<*02>,"<SFF>Ready, set...<D3>Medarot!<*02>"
